Year;Month;Decimal Year;Figure Reference;Sea_Area;Monthly_Average_Sea_Surface_Temperature_degrees_C;Latitude;Longitude
2001;11;2001.83;Figure 4.12;Minches and Malin Sea;11.94;57.03259;-6.552797
2001;12;2001.92;Figure 4.12;Minches and Malin Sea;10.4;57.03259;-6.552797
2002;1;2002;Figure 4.12;Minches and Malin Sea;9.27;57.03259;-6.552797
2002;2;2002.08;Figure 4.12;Minches and Malin Sea;8.85;57.03259;-6.552797
2002;3;2002.17;Figure 4.12;Minches and Malin Sea;8.44;57.03259;-6.552797
2002;4;2002.25;Figure 4.12;Minches and Malin Sea;9.15;57.03259;-6.552797
2002;5;2002.33;Figure 4.12;Minches and Malin Sea;10.32;57.03259;-6.552797
2002;6;2002.42;Figure 4.12;Minches and Malin Sea;12.01;57.03259;-6.552797
2002;7;2002.5;Figure 4.12;Minches and Malin Sea;13.35;57.03259;-6.552797
2002;8;2002.58;Figure 4.12;Minches and Malin Sea;14.36;57.03259;-6.552797
2002;9;2002.67;Figure 4.12;Minches and Malin Sea;14.15;57.03259;-6.552797
2002;10;2002.75;Figure 4.12;Minches and Malin Sea;13.31;57.03259;-6.552797
2002;11;2002.83;Figure 4.12;Minches and Malin Sea;11.61;57.03259;-6.552797
2002;12;2002.92;Figure 4.12;Minches and Malin Sea;10.46;57.03259;-6.552797
2003;1;2003;Figure 4.12;Minches and Malin Sea;9.31;57.03259;-6.552797
2003;2;2003.08;Figure 4.12;Minches and Malin Sea;8.29;57.03259;-6.552797
2003;3;2003.17;Figure 4.12;Minches and Malin Sea;8.42;57.03259;-6.552797
2003;4;2003.25;Figure 4.12;Minches and Malin Sea;9.37;57.03259;-6.552797
2003;5;2003.33;Figure 4.12;Minches and Malin Sea;10.37;57.03259;-6.552797
2003;6;2003.42;Figure 4.12;Minches and Malin Sea;12.45;57.03259;-6.552797
2003;7;2003.5;Figure 4.12;Minches and Malin Sea;14.27;57.03259;-6.552797
2003;8;2003.58;Figure 4.12;Minches and Malin Sea;15.2;57.03259;-6.552797
2003;9;2003.67;Figure 4.12;Minches and Malin Sea;14.67;57.03259;-6.552797
2003;10;2003.75;Figure 4.12;Minches and Malin Sea;13.2;57.03259;-6.552797
2003;11;2003.83;Figure 4.12;Minches and Malin Sea;11.85;57.03259;-6.552797
2003;12;2003.92;Figure 4.12;Minches and Malin Sea;10.56;57.03259;-6.552797
2004;1;2004;Figure 4.12;Minches and Malin Sea;9.29;57.03259;-6.552797
2004;2;2004.08;Figure 4.12;Minches and Malin Sea;8.58;57.03259;-6.552797
2004;3;2004.17;Figure 4.12;Minches and Malin Sea;8.54;57.03259;-6.552797
2004;4;2004.25;Figure 4.12;Minches and Malin Sea;8.77;57.03259;-6.552797
2004;5;2004.33;Figure 4.12;Minches and Malin Sea;10.1;57.03259;-6.552797
2004;6;2004.42;Figure 4.12;Minches and Malin Sea;12.29;57.03259;-6.552797
2004;7;2004.5;Figure 4.12;Minches and Malin Sea;13.78;57.03259;-6.552797
2004;8;2004.58;Figure 4.12;Minches and Malin Sea;15.02;57.03259;-6.552797
2004;9;2004.67;Figure 4.12;Minches and Malin Sea;14.14;57.03259;-6.552797
2004;10;2004.75;Figure 4.12;Minches and Malin Sea;12.83;57.03259;-6.552797
2004;11;2004.83;Figure 4.12;Minches and Malin Sea;11.64;57.03259;-6.552797
2004;12;2004.92;Figure 4.12;Minches and Malin Sea;10.35;57.03259;-6.552797
2005;1;2005;Figure 4.12;Minches and Malin Sea;8.87;57.03259;-6.552797
2005;2;2005.08;Figure 4.12;Minches and Malin Sea;8.32;57.03259;-6.552797
2005;3;2005.17;Figure 4.12;Minches and Malin Sea;8.13;57.03259;-6.552797
2005;4;2005.25;Figure 4.12;Minches and Malin Sea;8.92;57.03259;-6.552797
2005;5;2005.33;Figure 4.12;Minches and Malin Sea;10;57.03259;-6.552797
2005;6;2005.42;Figure 4.12;Minches and Malin Sea;11.93;57.03259;-6.552797
2005;7;2005.5;Figure 4.12;Minches and Malin Sea;13.75;57.03259;-6.552797
2005;8;2005.58;Figure 4.12;Minches and Malin Sea;14.16;57.03259;-6.552797
2005;9;2005.67;Figure 4.12;Minches and Malin Sea;14.05;57.03259;-6.552797
2005;10;2005.75;Figure 4.12;Minches and Malin Sea;13.19;57.03259;-6.552797
2005;11;2005.83;Figure 4.12;Minches and Malin Sea;12.08;57.03259;-6.552797
2005;12;2005.92;Figure 4.12;Minches and Malin Sea;10.41;57.03259;-6.552797
2006;1;2006;Figure 4.12;Minches and Malin Sea;9.18;57.03259;-6.552797
2006;2;2006.08;Figure 4.12;Minches and Malin Sea;8.63;57.03259;-6.552797
2006;3;2006.17;Figure 4.12;Minches and Malin Sea;8.04;57.03259;-6.552797
2006;4;2006.25;Figure 4.12;Minches and Malin Sea;8.16;57.03259;-6.552797
2006;5;2006.33;Figure 4.12;Minches and Malin Sea;9.47;57.03259;-6.552797
2006;6;2006.42;Figure 4.12;Minches and Malin Sea;11.86;57.03259;-6.552797
2006;7;2006.5;Figure 4.12;Minches and Malin Sea;14.03;57.03259;-6.552797
2006;8;2006.58;Figure 4.12;Minches and Malin Sea;14.18;57.03259;-6.552797
2006;9;2006.67;Figure 4.12;Minches and Malin Sea;14.51;57.03259;-6.552797
2006;10;2006.75;Figure 4.12;Minches and Malin Sea;13.81;57.03259;-6.552797
2006;11;2006.83;Figure 4.12;Minches and Malin Sea;12.37;57.03259;-6.552797
2006;12;2006.92;Figure 4.12;Minches and Malin Sea;10.6;57.03259;-6.552797
2007;1;2007;Figure 4.12;Minches and Malin Sea;9.34;57.03259;-6.552797
2007;2;2007.08;Figure 4.12;Minches and Malin Sea;8.56;57.03259;-6.552797
2007;3;2007.17;Figure 4.12;Minches and Malin Sea;8.58;57.03259;-6.552797
2007;4;2007.25;Figure 4.12;Minches and Malin Sea;9.44;57.03259;-6.552797
2007;5;2007.33;Figure 4.12;Minches and Malin Sea;10.69;57.03259;-6.552797
2007;6;2007.42;Figure 4.12;Minches and Malin Sea;12.83;57.03259;-6.552797
2007;7;2007.5;Figure 4.12;Minches and Malin Sea;13.72;57.03259;-6.552797
2007;8;2007.58;Figure 4.12;Minches and Malin Sea;13.82;57.03259;-6.552797
2007;9;2007.67;Figure 4.12;Minches and Malin Sea;13.56;57.03259;-6.552797
2007;10;2007.75;Figure 4.12;Minches and Malin Sea;12.99;57.03259;-6.552797
2007;11;2007.83;Figure 4.12;Minches and Malin Sea;11.79;57.03259;-6.552797
2007;12;2007.92;Figure 4.12;Minches and Malin Sea;10.18;57.03259;-6.552797
2008;1;2008;Figure 4.12;Minches and Malin Sea;9.12;57.03259;-6.552797
2008;2;2008.08;Figure 4.12;Minches and Malin Sea;8.3;57.03259;-6.552797
2008;3;2008.17;Figure 4.12;Minches and Malin Sea;8.04;57.03259;-6.552797
2008;4;2008.25;Figure 4.12;Minches and Malin Sea;8.45;57.03259;-6.552797
2008;5;2008.33;Figure 4.12;Minches and Malin Sea;10.84;57.03259;-6.552797
